Name,Age,Gender,Income,City
charlie,53,female,70039,los angeles
helen,40,female,53699,phoenix
bob,40,female,70039,phoenix
frank,40,female,64886,houston
helen,55,female,61835,phoenix
frank,40,female,33055,phoenix
david,40,female,70039,phoenix
bob,40,female,99970,chicago
helen,40,female,70039,houston
grace,40,female,70039,houston
charlie,43,male,70039,chicago
grace,40,male,34175,phoenix
ian,31,female,40957,houston
grace,40,male,70039,chicago
eva,40,female,32336,phoenix
charlie,37,male,70039,houston
frank,40,female,70039,chicago
charlie,40,male,70039,houston
jane,40,female,93983,phoenix
alice,28,female,70039,phoenix
charlie,32,female,75489,new york
alice,40,female,99488,phoenix
eva,40,female,90568,houston
charlie,40,male,70039,houston
bob,40,male,38292,phoenix
eva,49,male,60741,new york
alice,40,male,50815,los angeles
bob,40,female,92260,los angeles
charlie,40,male,70039,houston
eva,35,female,99786,phoenix
bob,40,male,70039,los angeles
eva,42,female,89664,houston
bob,49,female,44056,new york
jane,49,male,61838,phoenix
grace,24,female,92924,phoenix
charlie,24,female,70039,new york
charlie,30,female,53791,chicago
jane,40,male,70039,phoenix
david,40,male,70039,new york
grace,40,female,80824,phoenix
helen,40,female,70039,houston
eva,51,female,70039,phoenix
ian,40,female,70039,chicago
grace,42,female,68113,houston
grace,46,male,74726,phoenix
eva,22,female,95874,phoenix
helen,55,female,87438,los angeles
bob,46,male,70039,phoenix
ian,59,female,70035,phoenix
helen,40,female,70039,los angeles
david,31,female,38837,phoenix
alice,40,female,89921,new york
charlie,35,female,93674,chicago
bob,40,female,70039,new york
jane,59,female,70039,chicago
bob,40,female,91659,houston
grace,40,female,50167,new york
alice,40,female,51625,chicago
ian,42,female,70039,los angeles
david,40,male,95987,chicago
alice,47,male,61536,phoenix
david,37,female,70039,houston
helen,40,female,70039,phoenix
bob,56,male,40621,chicago
alice,33,female,75334,new york
charlie,46,female,70039,los angeles
alice,40,male,97585,new york
eva,40,female,67160,los angeles
david,37,female,70039,houston
charlie,47,female,78207,new york
bob,40,male,72664,phoenix
ian,27,female,90210,phoenix
bob,27,female,35170,new york
jane,49,male,70039,phoenix
alice,40,female,70039,houston
grace,47,female,84299,houston
grace,55,female,70039,houston
charlie,26,female,82259,houston
alice,28,female,97709,new york
ian,56,female,96539,new york
bob,40,female,70039,phoenix
david,25,female,70039,chicago
frank,44,male,33540,houston
eva,52,female,59084,new york
david,24,male,70039,chicago
helen,40,female,68559,houston
helen,40,female,97834,chicago
helen,40,female,70039,los angeles
frank,40,male,62935,phoenix
jane,45,female,78322,los angeles
david,40,male,79209,houston
bob,48,female,70039,houston
jane,53,male,36321,new york
david,40,female,53271,new york
frank,40,female,70039,phoenix
jane,40,male,36955,chicago
grace,40,female,90041,phoenix
helen,40,female,70039,phoenix
david,40,female,75336,chicago
alice,40,female,74435,phoenix
ian,44,female,88133,los angeles
david,40,male,70039,new york
grace,54,female,70039,phoenix
jane,40,male,97913,new york
bob,40,female,70039,phoenix
david,28,female,70039,houston
jane,35,male,70039,chicago
ian,41,male,39226,phoenix
ian,36,female,50175,houston
ian,40,female,67701,new york
frank,40,female,70039,phoenix
ian,35,male,70039,phoenix
charlie,58,female,70039,phoenix
jane,40,female,90879,new york
alice,22,female,70039,new york
ian,40,male,70039,los angeles
bob,40,male,70039,new york
bob,40,male,70039,los angeles
bob,40,male,38292,phoenix
bob,40,male,70039,phoenix
bob,30,male,70039,phoenix
david,40,male,96431,houston
eva,57,female,93743,new york
jane,54,female,70039,phoenix
bob,40,female,70039,chicago
jane,25,male,70039,houston
helen,40,female,70039,chicago
eva,52,female,72495,phoenix
eva,40,male,45209,phoenix
alice,40,female,70039,phoenix
eva,40,male,79685,los angeles
david,40,female,70039,phoenix
grace,40,female,70039,chicago
eva,28,female,70039,phoenix
charlie,33,male,32290,new york
bob,56,male,40621,chicago
ian,40,female,76934,new york
eva,43,female,70039,phoenix
bob,40,female,58815,chicago
eva,40,male,70039,chicago
ian,24,female,70039,new york
david,40,female,66291,phoenix
eva,53,female,70039,houston
eva,22,female,95874,phoenix
bob,39,male,31536,phoenix
grace,23,female,70039,los angeles
alice,30,male,70919,los angeles
david,40,female,70039,phoenix
alice,40,male,97585,new york
frank,40,female,70039,houston
frank,40,female,86296,new york
ian,33,male,70039,phoenix
ian,40,female,70039,phoenix
eva,37,female,70039,new york
charlie,40,male,96790,chicago
charlie,40,male,46253,new york
grace,42,female,79366,phoenix
ian,20,male,90482,phoenix
grace,52,female,99136,chicago
jane,40,male,70039,new york
david,40,female,61535,phoenix
bob,40,female,70039,new york
bob,40,female,70039,chicago
jane,40,female,61058,chicago
david,45,female,70039,new york
frank,41,male,36980,phoenix
david,44,male,34239,phoenix
ian,40,male,74181,phoenix
